numType	alnType	compiler	minSize	maxSize	strNum	runTimes	alnCount	time(sec)
double	global	clang	50	50	50	2	5000	0.283952
float	global	clang	50	50	50	2	5000	0.289996
uint16_t	global	clang	50	50	50	2	5000	0.248409
uint32_t	global	clang	50	50	50	2	5000	0.255871
uint64_t	global	clang	50	50	50	2	5000	0.246355
double	local	clang	50	50	50	2	5000	0.268718
float	local	clang	50	50	50	2	5000	0.269645
uint16_t	local	clang	50	50	50	2	5000	0.283183
uint32_t	local	clang	50	50	50	2	5000	0.275287
uint64_t	local	clang	50	50	50	2	5000	0.28288
double	global	clang	50	50	50	2	5000	0.283957
float	global	clang	50	50	50	2	5000	0.290226
uint16_t	global	clang	50	50	50	2	5000	0.244773
uint32_t	global	clang	50	50	50	2	5000	0.257184
uint64_t	global	clang	50	50	50	2	5000	0.243515
double	local	clang	50	50	50	2	5000	0.268567
float	local	clang	50	50	50	2	5000	0.269235
uint16_t	local	clang	50	50	50	2	5000	0.281646
uint32_t	local	clang	50	50	50	2	5000	0.275246
uint64_t	local	clang	50	50	50	2	5000	0.281716
double	global	gxx	50	50	50	2	5000	0.389068
float	global	gxx	50	50	50	2	5000	0.390096
uint16_t	global	gxx	50	50	50	2	5000	0.299986
uint32_t	global	gxx	50	50	50	2	5000	0.298243
uint64_t	global	gxx	50	50	50	2	5000	0.305848
double	local	gxx	50	50	50	2	5000	0.315233
float	local	gxx	50	50	50	2	5000	0.310527
uint16_t	local	gxx	50	50	50	2	5000	0.350922
uint32_t	local	gxx	50	50	50	2	5000	0.349521
uint64_t	local	gxx	50	50	50	2	5000	0.347202
double	global	gxx	50	50	50	2	5000	0.406382
float	global	gxx	50	50	50	2	5000	0.389935
uint16_t	global	gxx	50	50	50	2	5000	0.301245
uint32_t	global	gxx	50	50	50	2	5000	0.311423
uint64_t	global	gxx	50	50	50	2	5000	0.304319
double	local	gxx	50	50	50	2	5000	0.315136
float	local	gxx	50	50	50	2	5000	0.311775
uint16_t	local	gxx	50	50	50	2	5000	0.346437
uint32_t	local	gxx	50	50	50	2	5000	0.349054
uint64_t	local	gxx	50	50	50	2	5000	0.346393
double	global	clang	50	50	50	2	5000	0.288744
float	global	clang	50	50	50	2	5000	0.289396
uint16_t	global	clang	50	50	50	2	5000	0.24434
uint32_t	global	clang	50	50	50	2	5000	0.255573
uint64_t	global	clang	50	50	50	2	5000	0.244088
double	local	clang	50	50	50	2	5000	0.268084
float	local	clang	50	50	50	2	5000	0.269977
uint16_t	local	clang	50	50	50	2	5000	0.281591
uint32_t	local	clang	50	50	50	2	5000	0.274609
uint64_t	local	clang	50	50	50	2	5000	0.282328
double	global	clang	50	50	50	2	5000	0.283788
float	global	clang	50	50	50	2	5000	0.294257
uint16_t	global	clang	50	50	50	2	5000	0.24391
uint32_t	global	clang	50	50	50	2	5000	0.254686
uint64_t	global	clang	50	50	50	2	5000	0.244702
double	local	clang	50	50	50	2	5000	0.269012
float	local	clang	50	50	50	2	5000	0.268974
uint16_t	local	clang	50	50	50	2	5000	0.283035
uint32_t	local	clang	50	50	50	2	5000	0.274149
uint64_t	local	clang	50	50	50	2	5000	0.281235
double	global	gxx	50	50	50	2	5000	0.390125
float	global	gxx	50	50	50	2	5000	0.388033
uint16_t	global	gxx	50	50	50	2	5000	0.304599
uint32_t	global	gxx	50	50	50	2	5000	0.298988
uint64_t	global	gxx	50	50	50	2	5000	0.30397
double	local	gxx	50	50	50	2	5000	0.317538
float	local	gxx	50	50	50	2	5000	0.312191
uint16_t	local	gxx	50	50	50	2	5000	0.348406
uint32_t	local	gxx	50	50	50	2	5000	0.350993
uint64_t	local	gxx	50	50	50	2	5000	0.350156
double	global	gxx	50	50	50	2	5000	0.390074
float	global	gxx	50	50	50	2	5000	0.398753
uint16_t	global	gxx	50	50	50	2	5000	0.304129
uint32_t	global	gxx	50	50	50	2	5000	0.300887
uint64_t	global	gxx	50	50	50	2	5000	0.310824
double	local	gxx	50	50	50	2	5000	0.316766
float	local	gxx	50	50	50	2	5000	0.315555
uint16_t	local	gxx	50	50	50	2	5000	0.34947
uint32_t	local	gxx	50	50	50	2	5000	0.352313
uint64_t	local	gxx	50	50	50	2	5000	0.349763
